A Aaaaa; Bla; bla; bla; bla; bla, bla; (88)981318778; (88)98834993
Abílio Gina Varella; Rua Serralheiro Rui; 20624; Rui; ; Turvo, PR; (49)945106984; (17)942943
Abílio Godinho Holanda; Avenida Tristão Campos; 21566; Bartira; ; SantaRosa do Toocantins, TO; (39)908685560; (77)957349
Abílio Jorgina Custódio; Rua Amanda Abel; 21939; Apt 503; Délio; Bom Jardim, RJ; (97)982282667; (30)908288
Abílio Josias Délio; Rua Palmiro Olivares Meneses; 5224; Apt 88; Varella; Palmelo, GO; (28)926277883; (61)904501
Abílio Josias Malheiro; Rua Abel Furquim; 30041; Apt 785; Fabíola; Gaúcha do Norte, MT; (52)995349783; (83)901484
Abílio Lameira Rosmaninho; Rua Abel Melinda; 21694; Apt 76; Fontoura; Tunas do Paraná, PR; (41)953408147; (95)955212
Abílio Loureiro Portugal; Avenida Campos Cortez; 14274; Abílio; ; Iporã do Oeste, SC; (22)928453393; (84)995352
Abílio Lucrécia Bernardino Rivero; Rua Malheiro Máxima Foquiço; 5494; Cortez; ; Ouro Verde, SP; (46)997158529; (53)939711
Abílio Lucrécia Porto; Avenida Pareds  Lídia Monjardim; 16938; Canadas; ; Cristina, MG; (77)992390168; (84)995352
Abílio Lénia  Arruda; Rua Collares Assunção; 30451; Ágata; ; Nhamundá, AM; (89)939459063; (84)995352
Abílio Lénia Mileide; Avenida Vellozo Camello; 13682; Susana; ; Januário Cicco, RN; (22)994169790; (17)942943
Abílio Lénia Tévez; Avenida Canedo Malheiro; 10217; Apt 774; Bartira; Riachinho, TO; (67)901060404; (85)972690
Abílio Lívia Ramiro; Avenida Máxim FFoquiço Aguiar; 20066; Fitas; ; Treze de Maio, SC; (59)945189879; (57)905212
Abílio Mariana Horácio León; Rua Daniela Abreu; 20333; Sidónio; ; São Félix, BA; (24)927925297; (84)995352
Abílio Mariano  Alda; Avenida Loureiro Cortez; 29705; Ramiro; ; Poço e José de  Moura, PB; (88)938314459; (60)958767
Abílio Mariano  Emílio Malheiros; Avenida Loureroo Palmiro Olivares; 12575; Paredes; ; Várzea da Palma, MG; (11)918108673; (17)942943
Abílio Mariano  Telma; Avenida Fortunato Telma; 14852; Apt 49; Campos; Itaú, RN; (16)907543995; (65)914771
Abílio Meneses Abreu; Avenida Loureiro Portugal; 28338; Lénia; ; Contenda, PR; (65)969445754; (84)995352
Abílio Mieiro Bezerra; Avenida Tércio Horácio León; 2940; Apt 646; Daniela; Acará, PA; (83)956371663; (84)995352
Abílio Mieiro Jiménez; Rua Quintanila  Máxima Foquiço; 17511; Mota; ; Campestre, MG; (72)994391430; (81)994554
Abílio Mieiro Tércio; Rua Mieiro Lénia; 27703; Rosmaninho; ; Analândia, SP; (49)963151347; (41)912351
Abílio Mileide Gina; Rua Lénia Susana; 18592; Elba; ; Novo orizonte ddo Sul, MS; (49)944296308; (84)995352
Abílio Mónica  Lívia; Avenida Cleus VVirgínia Cardin; 18785; Apt 169; Amanda; Ouro Preto, MG; (79)971483257; (53)939711
Abílio Mónica  Mieiro; Rua Glauco  Jorgina; 663; Mônica Dinis; ; Amélia Rodrigues, BA; (77)922541911; (86)954722
Abílio Mónica  Vanda; Avenida Jiménez Loureiro; 494; Jiménez; ; Rubim, MG; (47)984894250; (60)958767
Abílio Olga Carqueijeiro Glauco; Rua Raminhos Camello; 10763; Apt 516; Abreu; Mandirituba, PR; (67)919075200; (21)925794
Abílio Palmiro Olivares Cotrim; Rua Pessanha Joaquina; 17171; Acacio; ; Rosana, SP; (30)951494898; (84)995352
Abílio Parcidio Brião Benedita; Rua Meneses Ubiratã Vila-Chã; 896; Apt 967; Ubiratã Vila-Chã; Poção, PE; (49)901894438; (77)957349
Abílio Parcidio Brião Mieiro; Rua Emílio Maheeiros Benedita; 9624; Apt 371; Mônica Dinis; Oiapoque, AP; (94)982115879; (15)945964
Abílio Porto Raminhos; Avenida Horáco  León Raminhos; 9213; Mileide; ; Central, BA; (57)994645118; (65)914771
Abílio Quintanilla  Mota; Avenida Ubiraã  Vila-Chã Silvano Bocaiúva; 31991; Raminhos; ; Pontes e Lacerda, MT; (93)948812303; (17)942943
Abílio Rodríguez Canedo; Rua Mieiro Máxima Foquiço; 12806; Damião; ; Jataúba, PE; (11)955619864; (78)917266
Abílio Rodríguez Josias; Rua Meneses Telma; 3754; Apt 855; Abel; Alto Paraíso, PR; (49)900515945; (60)958767
Abílio Ronaldo  Emílio Malheiros; Rua Holanda Virgília; 24864; Jorgina; ; Nova Boa Vista, RS; (43)991545268; (16)962346
Abílio Rosmaninho Alda; Avenida Mileide Canadas; 5846; Délio; ; São Cristóvão, SE; (70)961235228; (84)995352
Abílio Rosmaninho Parcidio Brião; Avenida Paredes  Mota; 7976; Furquim; ; Deputdo Irapuann Pinheiro, CE; (28)925717506; (17)942943
Abílio Rosmaninho Tristão; Avenida Mariana Miera; 29210; Apt 894; Fitas; Ipecaetá, BA; (42)974428578; (82)902501
Abílio Rui Mileide; Rua Mieiro Délio; 1853; Gina; ; Planalto, RS; (42)929941033; (16)962346
Abílio Sidónio Fitas; Avenida Godim  Serralheiro; 13685; Fabíola; ; Itaubal, AP; (98)913049723; (16)962346
Abílio Silvano Bocaiúva Josias; Rua Pegado Holanda; 8785; Paredes; ; Lençóis Paulista, SP; (22)902044331; (36)929005
Abílio Susana Canedo; Rua Lameira Damião; 13016; Maranhão; ; Novo Aripuanã, AM; (49)988509943; (60)928698
Abílio Telma Emílio Malheiros; Avenida Godim  Abílio; 30118; Maranhão; ; Cacimba de Areia, PB; (92)919153348; (30)908288
Abílio Tristão Abílio; Avenida Canadas Célia Pino; 29712; Apt 478; Assunção; Icaraí de Minas, MG; (64)906338397; (95)955212
Abílio Tristão Corrêa; Avenida Assunção Rodríguez; 17209; Apt 823; Carlos Sequeira; Montenegro, RS; (19)983300245; (59)945499
Abílio Tércio Fabíola; Rua Emílio Malheiros Godim; 19501; Apt 791; Xavier; Salvaterra, PA; (25)936652113; (83)901484
Abílio Vanda  Lopes; Avenida Sidóno  Bernardino Rivero; 13315; Lídia Monjardim; ; Bauru, SP; (19)919221598; (89)982508
Abílio Varella Florêncio; Rua Jorgina Aguiar; 28092; Jiménez; ; Guanambi, BA; (68)921971979; (84)995352
Abílio Varella Vellozo; Rua Pegado Canedo; 25328; Batata; ; Novo Aripuanã, AM; (48)958057242; (86)954722
Abílio Virgília Portugal; Rua Josias Elba; 14333; Lucrécia; ; Bertolínia, PI; (95)943898728; (21)925794
Abílio Virgília Ronaldo; Rua Damião Mónica; 28226; Délio; ; Itatiba, SP; (29)928893224; (84)995352
Abílio Xavier Glauco; Avenida Canadas Alda; 28622; Apt 440; Tércio; Júlio Borges, PI; (93)970047889; (30)908288
Acacio Abel Godinho; Avenida Assunção Tévez; 7581; Apt 525; Elba; Pacajus, CE; (12)915970602; (36)908525
Acacio Abílio Rui; Avenida Cleusa Alda; 20050; Apt 677; Rui; Burit dos Montees, PI; (39)975134605; (39)936197
Acacio Alda Collares; Rua Xavier Lucrécia; 28555; Glauco; ; Machado, MG; (71)913365118; (80)993808
Acacio Alda Lénia; Avenida Silvao  Bocaiúva Maranhão; 20177; Apt 233; Jorgina; Formosa, GO; (84)962022190; (12)916141
Acacio Alda Quirino Valentim; Avenida Mariana Dirceu; 14891; Apt 369; Vera Pedroso; Lambari D'Oeste, MT; (52)953232032; (80)993808
Acacio Almerinda Almerinda; Avenida Vanda  Rosmaninho; 29763; Hernâni; ; Montes Altos, MA; (61)993986480; (39)936197
Acacio Almerinda Horácio León; Avenida Paredes  Liberato; 25484; Telma; ; Retirolândia, BA; (94)963376679; (80)993808
Acacio Amanda Cleusa; Avenida Godim  Acacio; 3277; Aguiar; ; Colméia, TO; (52)947677442; (82)926838
Acacio Bartira Becerra; Avenida Mariano  Miera; 27227; Gina; ; Itá, SC; (48)990417333; (45)966391
Acacio Bartira Parcidio Brião; Avenida Gina Tércio; 7057; Lameira; ; Paraí, RS; (67)925972988; (73)933591
Acacio Batata Becerra; Avenida Ronaldo  Fabíola; 29695; Apt 231; Susana; Fênix, PR; (23)974147511; (12)920241
Acacio Batata Mónica; Rua Bartira Alda; 11217; Parcidio Brião; ; Cristina, MG; (65)944465551; (91)912167
Acacio Bessa Tomás; Rua Fabíola Canedo; 13631; Apt 321; Cortez; Emas, PB; (90)929834035; (12)920241
Acacio Canedo Raminhos; Rua Mieiro Acacio; 9962; Bezerra; ; Nova Fátima, BA; (70)907680441; (12)920241
Acacio Cleusa Joaquina; Avenida Alda míílio Malheiros; 12253; Apt 194; Quirino Valentim; Nova Itarana, BA; (12)995038092; (81)912133
Acacio Cleusa Malheiro; Rua Bartira Portugal; 7382; Hernâni; ; CampoLimpo Paullista, SP; (61)975408709; (80)993808
Acacio Cleusa Mariano; Rua Damião Vanda; 17146; Bezerra; ; Colina, SP; (47)953735205; (49)906335
Acacio Cora Florêncio; Avenida Susana Batata; 23794; Mónica; ; Cachoiro de Itaapemirim, ES; (33)901963213; (44)997374
Acacio Corrêa Fitas; Rua Damião Tércio; 10050; Meneses; ; Camalaú, PB; (79)927807089; (50)936671
Acacio Corrêa Lénia; Rua Viriato Máxima Foquiço; 7357; Quirino Valentim; ; SantoAntônio daa Platina, PR; (37)913703213; (16)939992
Acacio Cotrim Acacio; Avenida Gina Virgília; 3222; Sidónio; ; Siqueira Campos, PR; (26)998724938; (91)912167
Acacio Célia Pino Lucrécia; Rua Lénia Jiménez; 16040; Benedita; ; Riachinho, TO; (92)983620217; (80)993808
Acacio Damião Daniela; Rua Lameira Amanda; 25834; Ágata; ; Cruz das Almas, BA; (34)912569717; (16)939992
Acacio Dirceu Porto; Avenida Aguia EEmílio Malheiros; 30057; Godim; ; Caridade, CE; (75)948135022; (72)924264
Acacio Dirceu Xavier; Avenida Alda Collares; 8177; Apt 978; Tristão; São Sbastião doo Passé, BA; (11)993876577; (82)926838
Acacio Délio  Juruna; Avenida Vanda  Hernâni; 2192; Ágata; ; Arapuá, MG; (93)982571815; (45)966391
Acacio Délio Cora; Rua Pessanha Ramiro; 4608; Gina; ; São Vlentim do  Sul, RS; (60)973308657; (81)912133
Acacio Délio Emílio Malheiros; Rua Lídia Monarrdim Almerinda; 22956; Acacio; ; Benjain Constannt do Sul, RS; (61)952865778; (21)906057
Acacio Emílio Malheiros Meneses; Rua Virgínia Cardin Vanda; 21311; Arruda; ; Itambé, PR; (96)934523893; (50)936671
Acacio Fabíola Quirino Valentim; Rua Amanda Raminhos; 17446; Apt 567; Josias; São Mguel do Igguaçu, PR; (35)900658294; (16)939992
Acacio Fabíola Rosmaninho; Rua Pessanha Damião; 29976; Fitas; ; Santa Branca, SP; (41)988148019; (12)920241
Acacio Fitas Tércio; Avenida Cleusa Cora; 12314; Apt 24; Bernardino Rivero; Campo Mourão, PR; (33)917288797; (46)925026
Acacio Florêncio Máxima Foquiço; Rua Raminhos Acacio; 25069; Apt 557; Carlos Sequeira; Varre-Sai, RJ; (81)972548396; (50)936671
Acacio Florêncio Tomás; Rua Emílio Malheiros Mónica; 32693; Apt 62; Miera; Buíque, PE; (18)974547952; (45)966391
Acacio Fontoura Fontoura; Avenida Cavadas Porto; 12273; Délio; ; Eusébio, CE; (42)926235651; (26)998588
Acacio Fortunato Lameira; Rua Mieiro Palmiro Olivares; 5475; Jiménez; ; Alvarães, AM; (43)947445626; (45)905842
Acacio Furquim Godim; Rua Mônica Dinis Godinho; 21892; Furquim; ; Vilhena, RO; (13)916832138; (73)933591
Acacio Furquim Jorgina; Rua Emílio Malheiros Ágata; 26820; Apt 937; Benedita; Contagem, MG; (27)960702249; (12)916141
Acacio Furquim Tomás; Rua Mónica  Mariana; 21839; Porto; ; Panelas, PE; (37)972715286; (16)939992
Acacio Gina Abreu; Rua Lopes Batata; 6803; Lucrécia; ; Jacuí, MG; (19)972060154; (21)906057
Acacio Gina Florêncio; Rua Godinho Pegado; 9660; Apt 18; Bessa; São Simão, GO; (56)924185716; (80)993808
Acacio Godim  Melinda; Avenida Canedo Benedita; 25986; Apt 297; Silvano Bocaiúva; Ourilndia do Noorte, PA; (60)997912438; (91)912167
Acacio Godim  Telma; Avenida Alda Florêncio; 16726; Apt 898; Fortunato; Cafarnaum, BA; (64)901519295; (16)939992
Acacio Godinho Mariana; Rua Rodríguez Assunção; 1099; Porto; ; São José da Laje, AL; (57)925579858; (80)993808
Acacio Jiménez Parcidio Brião; Avenida Acacio Corrêa; 8366; Benedita; ; Nova Marilândia, MT; (56)950652735; (82)926838
Acacio Jiménez Ramiro; Rua Dirceu Florêncio; 18764; Apt 206; Ronaldo; Tapejara, RS; (94)918249193; (45)966391
Acacio Josias Furquim; Rua Palmiro Oivvares Fontoura; 11955; Apt 182; Paredes; Monteiro, PB; (48)917989159; (12)916141
Acacio Loureiro Corrêa; Rua Maranhão Ramiro; 6885; Meneses; ; São Bnto do Toccantins, TO; (29)950094963; (91)912167
Acacio Lucrécia Vanda; Avenida Bessa Corrêa; 27092; Apt 582; Tristão; Paraúna, GO; (33)964094308; (72)924264
Acacio Lénia Jiménez; Avenida Porto Becerra; 624; Cora; ; Canapi, AL; (20)905359783; (80)993808
Acacio Lídia Monjardim Mileide; Rua Emílio Malheiros Gina; 4003; Apt 792; Dirceu; Bocaina do Sul, SC; (29)929296385; (50)936671
Acacio Lívia Silvano Bocaiúva; Avenida Vanda  Damião; 31742; Bartira; ; Mirassol, SP; (37)963791880; (74)977449
Acacio Malheiro Correia; Rua Alda Aguiar; 20186; Portugal; ; Desterro do Melo, MG; (89)972274905; (39)936197
Acacio Mariana Florêncio; Avenida Cavadas Josias; 11735; Adélio; ; Divisa Alegre, MG; (81)900741149; (80)993808
Acacio Mariano  Alda; Avenida Aguiar Lucrécia; 15543; Camello; ; Pedra Mole, SE; (21)913475494; (80)993808
Acacio Mieiro Horácio León; Avenida Cotrim Serralheiro; 6225; Silvano Bocaiúva; ; Araricá, RS; (36)942947270; (80)993808
Acacio Mieiro Ágata; Avenida Paredes Fabíola; 10714; Palmiro Olivares; ; São Jão da Barrra, RJ; (30)938328327; (73)933591
Acacio Miera Fontoura; Avenida Parciioo Brião Serralheiro; 19807; Mota; ; Claraval, MG; (20)997578930; (72)924264
Acacio Mónica  Rodríguez; Rua Elba Quirino Valentim; 14143; Cotrim; ; Coronel Freitas, SC; (57)970823757; (91)912167
Acacio Mônica Dinis Lídia Monjardim; Rua Florêncio Rui; 28333; Abreu; ; Nova andeirantees, MT; (86)980856193; (16)939992
Acacio Olga Carqueijeiro Custódio; Avenida Horáco  León Palmiro Olivares; 14092; Bernardino Rivero; ; Coremas, PB; (48)930375964; (80)993808
Acacio Parcidio Brião Holanda; Rua Meneses Aguiar; 23898; Apt 191; Loureiro; Canindé, CE; (71)917938244; (12)916141
Acacio Parcidio Brião Quintanilla; Rua Quirino Valentim Paredes; 12746; Cavadas; ; Planaltina, GO; (59)940318735; (80)993808
Acacio Paredes Aguiar; Avenida Susana Alda; 5275; Corrêa; ; Ituiutaba, MG; (11)927977571; (12)916141
Acacio Paredes Tévez; Rua Custódio Aguiar; 2857; Apt 476; Mileide; Viçosa, MG; (54)941035995; (74)977449
Acacio Pessanha Délio; Avenida Calisto Susana; 13595; Jorgina; ; Linha Nova, RS; (31)993504792; (91)912167
Acacio Quintanilla Godinho; Rua Tévez Melinda; 350; Apt 358; Batata; Comodoro, MT; (18)932609388; (80)993808
Acacio Raminhos Amanda; Avenida Canads  Carlos Sequeira; 4601; Apt 739; Rodríguez; Telêmaco Borba, PR; (38)984557948; (12)920241
Acacio Rodríguez Mônica Dinis; Rua  Mota Fontoura; 7899; Apt 716; Maranhão; Barra do Piraí, RJ; (71)958090492; (32)952159
Acacio Rosmaninho Pegado; Avenida Vanda  Abreu; 12753; Quintanilla; ; Mostardas, RS; (13)937501513; (45)905842
Acacio Rui Bezerra; Avenida Ronaldo  Portugal; 5916; Apt 872; Calisto; Gavião, BA; (82)940239820; (12)916141
Acacio Rui Jorgina; Avenida Camello Custódio; 11982; Tristão; ; Coronel Ezequiel, RN; (30)908645298; (91)912167
Acacio Susana Bartira; Avenida Cotrim Godinho; 10127; Campos; ; Cachoira de Pajjeú, MG; (39)960832672; (12)916141
Acacio Susana Loureiro; Avenida Becerra Calisto; 27570; Damião; ; Osvaldo Cruz, SP; (96)978508062; (44)997374
Acacio Tomás Abreu; Rua Xavier Sidónio; 17450; Mota; ; SantaLuzia do IItanhy, SE; (16)947417884; (27)970456
Acacio Tristão Abílio; Avenida Campos Gina; 356; Vanda; ; Teixeira Soares, PR; (45)976793069; (49)906335
Acacio Vellozo Canedo; Rua Lameira Emílio Malheiros; 12562; Bezerra; ; Jundiá, RN; (21)988801242; (80)993808
Acacio Virgília Vanda; Avenida Ubiraã  Vila-Chã Joaquina; 1418; Alda; ; Poté, MG; (89)980578112; (39)936197
Acacio Virgínia Cardin Assunção; Rua Fontoura Custódio; 15561; Lídia Monjardim; ; Lagoa Salgada, RN; (68)940776385; (26)998588
Acacio Virgínia Cardin Canedo; Avenida Fortunato  Juruna; 23810; Apt 39; Lucrécia; São Jsé do Jacuuri, MG; (59)966629955; (82)926838
Acacio Virgínia Cardin Rosmaninho; Rua Jorgina Rui; 19897; Bezerra; ; Rolante, RS; (40)956917074; (81)912133
Acacio Viriato Lívia; Rua Mônica Dinis Gina; 6060; Horácio León; ; Meruoca, CE; (90)975308522; (50)936671
Acacio Xavier Bessa; Avenida Pareds  Palmiro Olivares; 31696; Calisto; ; Santa Lúcia, PR; (92)915428244; (91)912167
Acacio Xavier Fontoura; Avenida Hernâni Daniela; 13941; Apt 446; Máxima Foquiço; Arauá, SE; (70)917825524; (50)936671
Acacio Ágata Pessanha; Rua Tévez Ramiro; 12626; Apt 635; Tristão; Cordislândia, MG; (55)926676491; (74)977449
Adélio Abel Délio; Rua Almerinda Daniela; 21478; Serralheiro; ; Santa Luzia, PB; (51)927909778; (41)959440
Adélio Abreu Cora; Rua Varella  Mota; 16611; Apt 541; Virgília; Quatis, RJ; (30)960846583; (24)994281
Adélio Acacio Correia; Rua Pessanha Loureiro; 6129; Abílio; ; Itamari, BA; (44)910042152; (73)979802
Adélio Aguiar Lídia Monjardim; Rua Alda Abreu; 21378; Corrêa; ; Fontoura Xavier, RS; (56)909429487; (72)973623
Adélio Aguiar Tomás; Avenida Correia Raminhos; 27672; Mónica; ; Itapirapuã, GO; (80)901485299; (24)994281
Adélio Alda Melinda; Avenida Silvao  Bocaiúva Serralheiro; 5261; Apt 926; Joaquina; Itainópolis, PI; (75)999974768; (72)973623
Adélio Alda Vellozo; Rua Holanda Quirino Valentim; 8112; Fontoura; ; Mata de São João, BA; (97)999375003; (64)944776
Adélio Almerinda Abílio; Avenida Vanda  Vera Pedroso; 9974; Paredes; ; Barrade São Migguel, AL; (93)902924226; (84)989355
Adélio Almerinda Corrêa; Avenida Parciioo Brião Camello; 22708; Carlos Sequeira; ; Aurora do Pará, PA; (57)906970128; (41)959440
Adélio Assunção Cotrim; Avenida Batata Portugal; 4057; Apt 358; Rodríguez; Nova Castilho, SP; (22)939881640; (24)994281
Adélio Assunção Porto; Rua Alda Fontoura; 2880; Porto; ; Periquito, MG; (54)953699259; (36)912769
Adélio Bartira Varella; Rua Quirino Valentim Tércio; 31004; Fortunato; ; Guamaré, RN; (77)918998680; (72)973623
Adélio Batata Cavadas; Avenida  Arruda Acacio; 6713; Apt 163; Glauco; Santa Cecília, SC; (79)918572971; (77)906673
Adélio Becerra Maranhão; Avenida Cotrim Alda; 3198; Varella; ; Tomar do Geru, SE; (86)916027260; (67)903634
Adélio Bernardino Rivero Viriato; Avenida Melinda Corrêa; 4147; Apt 324; Tévez; Braganey, PR; (29)958153894; (77)906673
Adélio Camello  Liberato; Rua Meneses Carlos Sequeira; 28591; Apt 586; Canadas; Porto Velho, RO; (24)963644366; (11)939979
Adélio Canedo Alda; Rua Mônica Dinis Fabíola; 7942; Cleusa; ; São Jão do Piauuí, PI; (32)988011626; (84)989355
Adélio Canedo Máxima Foquiço; Avenida Olga arrqueijeiro Lénia; 14327; Viriato; ; Luziânia, GO; (34)901342821; (34)912184
Adélio Canedo Tomás; Avenida Parciioo Brião Jiménez; 9841; Arruda; ; Cristal do Sul, RS; (34)910235965; (81)912133
Adélio Cavadas Cleusa; Rua Collares Furquim; 1894; Carlos Sequeira; ; Pedras Altas, RS; (94)902465257; (36)912769
Adélio Cavadas Malheiro; Rua Meneses Campos; 6240; Apt 43; Godinho; Francisco Santos, PI; (60)945033028; (44)921412
Adélio Cavadas Portugal; Rua Meneses Batata; 164; Apt 444; Vellozo; São Jão do Oestte, SC; (16)966114148; (24)994281
Adélio Corrêa Dirceu; Rua Lucrécia Godinho; 26628; Apt 920; Tévez; Getúlio Vargas, RS; (97)932648432; (77)906673
Adélio Cortez Lívia; Avenida Tristão Assunção; 23496; Emílio Malheiros; ; São João Batista, MA; (80)966651034; (92)939346
Adélio Cortez Portugal; Rua Virgília errnardino Rivero; 11390; Apt 276; Pessanha; Boa Esperança, PR; (47)908418474; (36)912769
Adélio Cortez Telma Azeredo; Avenida Rosmainnho Bernardino Rivero; 15494; Jiménez; ; Honório Serpa, PR; (67)932030307; (67)903634
Adélio Fontoura Becerra; Avenida Melinda Lívia; 8275; Apt 40; Lívia; Inajá, PE; (92)907304029; (11)939979
Adélio Fontoura Ramiro; Rua Benedita Calisto; 21971; Rosmaninho; ; Águas Belas, PE; (13)908019578; (67)903634
Adélio Fortunato Mariano; Rua Glauco  Paredes; 4619; Alda; ; Mulungu, PB; (76)954499413; (44)921412
Adélio Gina Jorgina; Avenida Célia Pino Canedo; 2000; Acacio; ; Rosário do Sul, RS; (27)998624135; (92)939346
Adélio Gina Vanda; Avenida Parciioo Brião Mileide; 27730; Melinda; ; Santa Tereza, RS; (75)950025879; (67)903634
Adélio Hernâni Fabíola; Rua Lénia Mileide; 25298; Camello; ; Iranduba, AM; (76)951885146; (24)994281
Adélio Horácio León Xavier; Rua Pegado Ubiratã Vila-Chã; 5959; Quirino Valentim; ; Serrita, PE; (90)975586995; (77)906673
Adélio Jiménez Rodríguez; Avenida Alda Lucrécia; 23297; Apt 104; Rosmaninho; Carmoda Cachoeiira, MG; (63)958257146; (24)994281
Adélio Joaquina Cotrim; Rua Quirino Vleentim Virgínia Cardin; 12324; Lopes; ; SerraNegra do NNorte, RN; (46)932150864; (92)918266
Adélio Jorgina Holanda; Avenida  Liberato Aguiar; 26006; Apt 256; Rosmaninho; São Vlério da NNatividade, TO; (56)934447623; (92)918266
Adélio Josias Campos; Rua Jorgina Holanda; 19617; Mileide; ; SantaRita de Caaldas, MG; (37)935626937; (92)918266
Adélio Lameira Correia; Avenida Becerra  Juruna; 3477; Batata; ; Miraselva, PR; (24)928570567; (24)994281
Adélio Loureiro Jorgina; Avenida LíviaOllga Carqueijeiro; 30620; Bessa; ; Brejolândia, BA; (97)933107607; (24)994281
Adélio Lídia Monjardim Holanda; Avenida Becerra Lénia; 1295; Calisto; ; Nova Aurora, GO; (94)977739456; (24)994281
Adélio Maranhão Viriato; Rua Mieiro Virgília; 918; Tévez; ; Itu, SP; (54)985780608; (37)941293
Adélio Mariana Florêncio; Avenida  Arruda Becerra; 8354; Apt 340; Cotrim; Salesópolis, SP; (84)993732635; (84)989355
